name,sites
4997: Practical Training in Computer Science,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/4997'}]
4998: Team Projects,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/4998'}]
4999: Independent Reading and Research,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/4999'}]
"5094: Introduction to Blockchains, Cryptocurrencies, and Smart Contracts",[{' CR': 'https://classes.cornell.edu/browse/roster/SP18/class/CS/5094'}]
5110: Programming Languages and Logics,"[{'Fall 18': 'https://www.cs.cornell.edu/courses/cs4110/2018fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5110', 'Fall 20': 'https://www.cs.cornell.edu/courses/cs4110/2020fa/', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS5110/2021fa/'}]"
5112: Algorithms and Data Structures for Applications,"[{'Fall 20': 'http://www.cs.cornell.edu/courses/CS5112/2020fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5112'}]"
5114: Software-Defined Networking,"[{'Fall 19': 'http://www.cs.cornell.edu/courses/CS5114/2019fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5114', 'Spring 21': 'http://www.cs.cornell.edu/courses/CS5114/2021sp/', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS5114/2021fa/'}]"
5120: Introduction to Compilers,"[{'Spring 20': 'http://www.cs.cornell.edu/courses/CS5120/2020sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5120', 'Spring 21': 'http://www.cs.cornell.edu/courses/CS5120/2021sp/'}]"
5121: Practicum in Compilers,"[{'Spring 20': 'http://www.cs.cornell.edu/courses/CS5121/2020sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5121', 'Spring 21': 'http://www.cs.cornell.edu/courses/CS5121/2021sp/'}]"
5135: Computational Integer Programming,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5135'}]
5150: Software Engineering,"[{'Spring 19': 'http://www.cs.cornell.edu/courses/CS5150/2019sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5150', 'Spring 20': 'http://www.cs.cornell.edu/courses/CS5150/2020sp/'}]"
5152: Advanced Topics in Computer Game Architecture,"[{'Spring 19': 'http://www.cs.cornell.edu/courses/CS5152/2019sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5152', 'Fall 19': 'http://www.cs.cornell.edu/courses/CS5152/2019fa/'}]"
5154: Software Testing,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS5154/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5154', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS5154/2021fa/'}]"
5160: Formal Verification,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5160'}]
5199: Competition Programming and Problem Solving Seminar,"[{'Spring 19': 'http://www.cs.cornell.edu/courses/CS5199/2019sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP20/class/CS/5199', 'Fall 19': 'http://www.cs.cornell.edu/courses/CS5199/2019fa/', 'Spring 20': 'http://www.cs.cornell.edu/courses/CS5199/2020sp/'}]"
5220: Applications of Parallel Computers,"[{'Fall 17': 'http://www.cs.cornell.edu/courses/CS5220/2017fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA20/class/CS/5220', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS5220/2020fa/'}]"
5223: Numerical Analysis: Linear and Nonlinear Problems,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5223'}]
5304: Data Science in the Wild,"[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5304', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS5304/2020fa/'}]"
5306: Crowdsourcing and Human Computation,"[{'Fall 18': 'http://www.cs.cornell.edu/courses/CS5306/2018fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5306', 'Fall 19': 'http://www.cs.cornell.edu/courses/CS5306/2019fa/'}]"
5320: Introduction to Database Systems,"[{'Fall 19': 'http://www.cs.cornell.edu/courses/CS5320/2019fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5320', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS5320/2020fa/', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS5320/2021fa/'}]"
5321: Practicum in Database Systems,"[{'Fall 18': 'http://www.cs.cornell.edu/courses/cs4321/2018fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA20/class/CS/5321', 'Fall 19': 'http://www.cs.cornell.edu/courses/CS5321/2019fa/', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS5321/2020fa/'}]"
5356: Building Startup Systems,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5356'}]
5410: Operating Systems,"[{'Fall 21': 'http://www.cs.cornell.edu/courses/CS5410/2021fa/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5410'}]"
