,book,url,author,category
83,Introduction to the Theory of Computation,https://cglab.ca/~michiel/TheoryOfComputation/TheoryOfComputation.pdf,"Anil Maheshwari, Michiel Smid",theory
84,Calculus Made Easy,https://www.gutenberg.org/ebooks/33283,Silvanus P. Thompson,mathematics
85,Probabilistic Graphical Models: Principles and Techniques,https://djsaunde.github.io/read/books/pdfs/probabilistic%20graphical%20models.pdf,Daphne Koller and Nir Friedman,mathematics
86,Computer Graphics from Scratch,https://gabrielgambetta.com/computer-graphics-from-scratch/,Gabriel Gambetta,graphics
87,The Not So Short Introduction to LaTeX,https://tobi.oetiker.ch/lshort/lshort.pdf,"Tobias Oetiker, Hubert Partl, Irene Hyna, Elisabeth Schlegl","introduction, latex"
88,Advanced Linux Programming,https://mentorembedded.github.io/advancedlinuxprogramming/,CodeSourcery LLC,linux
89,Linux Fundamentals,http://linux-training.be/linuxfun.pdf,Paul Cobbaut,linux
90,An Interactive Introduction to MATLAB,http://www.science.smith.edu/~jcardell/Courses/EGR326/Intro-to-MATLAB.pdf,Craig Warren,"introduction, matlab"
91,Scientific Computing,https://www.math.ust.hk/~machas/scientific-computing.pdf,Jeffrey R. Chasnov,misc
92,The Little MongoDB Book,https://www.openmymind.net/2011/3/28/The-Little-MongoDB-Book/,Karl Seguin,"mongodb, databases"
93,The Little Redis Book,https://www.openmymind.net/2012/1/23/The-Little-Redis-Book/,Karl Seguin,"redis, databases"
94,Algorithms and Data Structures,https://people.inf.ethz.ch/wirth/AD.pdf,Nikalus Wirth,"algorithms, datastructures"
95,Explore Flask,https://exploreflask.com/en/latest/,Robert Picard,"web, flask"
96,Advanced R,http://adv-r.had.co.nz/,Hadley Wickham,rprogramming
97,Efficient R Programming,https://csgillespie.github.io/efficientR/index.html,"Colin Gillespie, Robin Lovelace",rprogramming
98,Learning Statistics with R,https://learningstatisticswithr.com/book/,Danielle Navarro,"rprogramming, statistics"
